"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000255354",96.0180020296466,4.43830637755076,0.649138468284455,5.29672257236199,1.17899610065835e-07,4.99599564285004e-05,"RP11-148O21.2"
"ENSG00000042980",1182.27145265427,3.54358591097481,0.479620250638767,5.30333301729278,1.137072150236e-07,4.99599564285004e-05,"ADAM28"
"ENSG00000263264",141.154687130243,4.0249249371486,0.570972710153898,5.29784503419308,1.17177344858036e-07,4.99599564285004e-05,"CTB-133G6.1"
"ENSG00000260655",407.249978309809,5.67549263041712,0.882847407079417,5.29592384020734,1.18416187829195e-07,4.99599564285004e-05,NA
"ENSG00000102879",4790.72720225835,3.44029686577923,0.461532742907304,5.28737538837922,1.24083833424181e-07,5.16240448641851e-05,"CORO1A"
"ENSG00000175857",230.876561133572,4.15910635382866,0.598326907779549,5.27990018960106,1.29254276792956e-07,5.30385186483973e-05,"GAPT"
"ENSG00000122122",1574.41023717728,3.50892047801336,0.477429277026806,5.2550620557618,1.47974568560297e-07,5.98997054219419e-05,"SASH3"
"ENSG00000245904",95.8118247222947,3.19583746730045,0.418736487849027,5.24396017786763,1.57166135039935e-07,6.277215433495e-05,"RP11-796E2.4"
"ENSG00000103522",173.90814081142,3.58005350869904,0.494438470005777,5.21814879952382,1.80720256311185e-07,7.12299378658099e-05,"IL21R"
"ENSG00000065357",3908.98029017594,2.62244945915102,0.311354363932296,5.21094176635283,1.87884424875938e-07,7.30919213916716e-05,"DGKA"
"ENSG00000116824",890.965663345419,3.29694993126183,0.44148640899855,5.20276476114437,1.96345341083797e-07,7.51740983778958e-05,"CD2"
"ENSG00000177455",1343.98062989141,5.81175392444617,0.925165504479292,5.20096555821583,1.98255842826031e-07,7.51740983778958e-05,"CD19"
"ENSG00000159753",1597.61900048918,3.87195592266486,0.552548202001092,5.1976568058024,2.01816281999926e-07,7.55675840913473e-05,"CARMIL2"
"ENSG00000152266",8.06977557714976,19.7046554252007,3.60796040501265,5.1842740289538,2.16857892679232e-07,7.82647972916431e-05,"PTH"
"ENSG00000068831",4028.27796563829,3.01075576487836,0.38761126642274,5.18755758426631,2.13070051552537e-07,7.82647972916431e-05,"RASGRP2"
"ENSG00000010671",645.081650539365,3.59353964886784,0.500197650330912,5.18502965208264,2.15980499502171e-07,7.82647972916431e-05,"BTK"
"ENSG00000213443",397.050935765858,2.75212361456901,0.339130935731618,5.166510718903,2.38504530831696e-07,8.50524192983744e-05,"RP11-75L1.2"
"ENSG00000255518",70.1887647973096,5.39680162551585,0.851919624831875,5.16105216660967,2.455657327477e-07,8.61460587678286e-05,"RP11-148O21.4"
"ENSG00000012124",3020.37179514422,4.06446387874686,0.593920888231691,5.15971729479129,2.47323019663938e-07,8.61460587678286e-05,"CD22"
"ENSG00000079263",655.169686964399,3.66021889162848,0.517065150214292,5.14484275439174,2.67744984377818e-07,8.75707024953914e-05,"SP140"
"ENSG00000188011",100.835463973171,3.61187539765771,0.507173751414168,5.14986311964083,2.60676631069747e-07,8.75707024953914e-05,"RTP5"
"ENSG00000172578",1420.76717767228,3.45359451436009,0.476982088583292,5.14399717114669,2.68953584696245e-07,8.75707024953914e-05,"KLHL6"
"ENSG00000214215",8.64189361797176,6.28485815732866,1.02534383081119,5.15423021870389,2.5467491151021e-07,8.75707024953914e-05,"C12orf74"
"ENSG00000214900",154.904834168552,3.17690720740662,0.422784279421,5.14897860059479,2.61908757161796e-07,8.75707024953914e-05,"LINC01588"
"ENSG00000229474",382.858643000484,2.91710672836224,0.372544431193525,5.14598143963764,2.66125736025761e-07,8.75707024953914e-05,"PATL2"
"ENSG00000135960",25.635709422572,5.3634550690603,0.848665885963594,5.1415464451077,2.72486272368988e-07,8.77669493420755e-05,"EDAR"
"ENSG00000198286",1088.46052877751,3.51973265141031,0.491014783652216,5.13168388264869,2.8716149349217e-07,9.15098142293398e-05,"CARD11"
"ENSG00000128438",438.498715168188,5.73959936622628,0.924295308689451,5.12779770887997,2.93151184854433e-07,9.24351972875215e-05,"TBC1D27"
"ENSG00000197057",192.233367607959,3.85420281643934,0.558944122709509,5.10641887171736,3.28321473507137e-07,0.000102446559780274,"DTHD1"
"ENSG00000143851",1130.60169379128,3.45650783119617,0.482277830775156,5.09355328908209,3.51414216427838e-07,0.000108521781990679,"PTPN7"
"ENSG00000186854",269.743094739992,3.24196064337151,0.441364042786501,5.07961778947181,3.78194977229812e-07,0.000115600311662439,"TRABD2A"
"ENSG00000268041",49.4127471533152,3.6258890828891,0.5172140871578,5.07698677992107,3.83467542116304e-07,0.000116027982061554,"CTD-2575K13.6"
"ENSG00000140968",1817.33606894,3.39280430352018,0.472433683657809,5.06484695374373,4.08728587291959e-07,0.000122434648323306,"IRF8"
"ENSG00000124721",44.3575146836729,4.04880243256076,0.602882669080308,5.05704109426745,4.25811507600425e-07,0.000126288947625453,"DNAH8"
