"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrezid"
"ENSG00000186049",20.2279313774549,4.22366380308496,0.741230995489718,4.34906773016844,1.36717486420509e-05,0.00478464594237775,"KRT73",319101
"ENSG00000126882",826.677432118629,2.6022487485653,0.368661161638826,4.34612841082243,1.38561471459759e-05,0.0047946939736474,"FAM78A",286336
"ENSG00000106952",216.698039538689,3.43314982394536,0.561214021314147,4.33551146539045,1.45421593976719e-05,0.00497616536633446,"TNFSF8",944
"ENSG00000118513",106.463206649365,3.27282767455593,0.525379759040014,4.32606630812898,1.5179574544162e-05,0.00513720172787426,"MYB",4602
"ENSG00000271046",40.7974538477052,5.76372432249568,1.10212657694218,4.32230237629556,1.54409371274961e-05,0.0051688537034293,"RP11-138I18.2",NA
"ENSG00000112195",82.0466461669315,3.72247973190924,0.630326703762605,4.31915658286085,1.56626628238069e-05,0.00518669921489013,"TREML2",79865
"ENSG00000170486",86.132423612784,4.1244721590727,0.725190747643702,4.30848320834866,1.64377953525049e-05,0.00538547641990525,"KRT72",140807
"ENSG00000233999",11.2850276373157,4.82101668915615,0.888985888856403,4.29817473713956,1.72210380854271e-05,0.00558269799912524,"IGKV3OR2-268",NA
"ENSG00000238121",237.696728326758,3.06724816183283,0.481524625964802,4.29313071515463,1.76171216899416e-05,0.00565160934047011,"LINC00426",100188949
"ENSG00000260396",31.3752574047993,3.04864329963968,0.478321609407323,4.2829829540382,1.84404303733933e-05,0.00579499932866727,NA,NA
"ENSG00000140968",1817.33606894,3.0235742414128,0.472350935162359,4.28404834366899,1.83523008621204e-05,0.00579499932866727,"IRF8",3394
"ENSG00000125245",124.816591912182,3.28409044551394,0.534104591942192,4.2764853176195,1.89867072857605e-05,0.00590640024524815,"GPR18",2841
"ENSG00000104894",3221.79639379369,3.18204756677416,0.511000015688576,4.27015166297761,1.95340088843788e-05,0.00601588871612215,"CD37",951
"ENSG00000178999",113.127312136813,3.14809571406558,0.503498227524135,4.26634215700911,1.98703962224796e-05,0.00605889695508619,"AURKB",9212
"ENSG00000228655",2.4701192707088,5.19774201566299,0.989269220952018,4.24327566931004,2.20280564979561e-05,0.00665096133301523,"AC096558.1",NA
"ENSG00000214797",19.4962945268566,4.03187709873668,0.715791990843583,4.23569575731564,2.27845106082204e-05,0.00665755514703765,"RP11-1036E20.9",NA
"ENSG00000110777",2340.16478600003,4.16226652341524,0.74714184683108,4.23248481774598,2.31123519544497e-05,0.00665755514703765,"POU2AF1",5450
"ENSG00000185905",319.887232632318,3.28967496467118,0.540479994707121,4.2363731999219,2.27159104368069e-05,0.00665755514703765,"C16orf54",105369277
"ENSG00000259436",39.8793302007313,3.55877402652742,0.604581571532889,4.23230569208347,2.31307725016407e-05,0.00665755514703765,"CTC-378H22.2",NA
"ENSG00000010671",645.081650539365,3.1181429399691,0.499861112853491,4.23746293821006,2.26059720326326e-05,0.00665755514703765,"BTK",695
"ENSG00000156886",46.9863828398573,3.6031481589128,0.616525363628729,4.22228883430077,2.41833930657663e-05,0.0067785758295487,"ITGAD",3681
"ENSG00000187997",7.21897766204301,4.25290083238946,0.770156741125538,4.22368676230184,2.40338029870202e-05,0.0067785758295487,"C17orf99",100141515
"ENSG00000260655",407.249978309809,4.71801595778213,0.880623536881155,4.22202655512704,2.42115576598486e-05,0.0067785758295487,NA,NA
"ENSG00000183813",177.745023867375,3.84638865666192,0.675006132309751,4.21683377441636,2.47756466162327e-05,0.00687401431387493,"CCR4",1233
"ENSG00000124203",615.859341519857,3.09783346898368,0.497833650880968,4.21392460166432,2.5097109802986e-05,0.00690103295180857,"ZNF831",128611
"ENSG00000237638",9.38925006992897,4.73428177246613,0.890452883470557,4.19368822515538,2.74455139215809e-05,0.00742129785813982,"AC007386.2",400958
"ENSG00000270164",270.074621193148,2.99505519001116,0.475752049007356,4.19347682090658,2.74711158823242e-05,0.00742129785813982,"LINC01480",101927931
"ENSG00000229979",5.85381852024429,5.87759464762974,1.1664395845014,4.18160932845459,2.89453010259463e-05,0.00775155161474843,"U82670.9",NA
"ENSG00000163599",460.088910366861,3.56191074215336,0.613061720502233,4.1788789879991,2.9294950105517e-05,0.00775990863969333,"CTLA4",1493
"ENSG00000100055",1439.18395696657,2.62095542219416,0.388025739443718,4.17744303385129,2.94804464994681e-05,0.00775990863969333,"CYTH4",27128
"ENSG00000211911",10.7899542049657,5.92444971433494,1.18079301931707,4.17045971120584,3.03985796006712e-05,0.00786797093119645,"IGHD3-22",NA
"ENSG00000214999",17.028441857433,3.26651736745396,0.543472713626788,4.17043452343481,3.04019398257096e-05,0.00786797093119645,"AC129492.6",107985075
"ENSG00000150556",26.1634384431081,3.63696510257979,0.633332340066574,4.16363563923263,3.13219811155471e-05,0.0079720913422769,"LYPD6B",130576
